instrument,instrument_annual_return,instrument_annual_volatility,instrument_sharpe,portfolio_annual_return,portfolio_annual_volatility,portfolio_sharpe
002282.SZ,-0.06,0.44,0.07,1.16,0.44,1.97
002283.SZ,-0.07,0.42,0.04,1.08,0.42,1.95
002284.SZ,-0.06,0.49,0.11,1.26,0.46,1.99
002285.SZ,-0.16,0.52,-0.09,1.35,0.49,1.98
002287.SZ,-0.02,0.43,0.17,1.15,0.43,1.99
002290.SZ,-0.08,0.47,0.05,1.27,0.47,1.98
002291.SZ,-0.09,0.56,0.1,1.3,0.48,1.98
002293.SZ,-0.06,0.33,-0.03,0.73,0.33,1.81
002294.SZ,0.05,0.35,0.31,0.9,0.35,1.98
002297.SZ,-0.09,0.47,0.04,1.29,0.47,1.98
002298.SZ,-0.14,0.45,-0.12,1.18,0.45,1.96
002299.SZ,-0.03,0.4,0.13,1.04,0.4,1.97
002300.SZ,-0.01,0.46,0.2,1.24,0.46,1.99
002302.SZ,-0.03,0.46,0.15,1.23,0.46,1.99
002303.SZ,-0.11,0.37,-0.13,0.87,0.37,1.87
002304.SZ,0.07,0.37,0.36,0.96,0.37,2
002305.SZ,-0.13,0.51,-0.02,1.35,0.49,1.98
002307.SZ,-0.11,0.48,-0.01,1.29,0.48,1.98
002309.SZ,-0.24,0.46,-0.36,1.19,0.46,1.94
002311.SZ,0.12,0.35,0.5,0.92,0.35,2.03
002312.SZ,-0.07,0.46,0.07,1.24,0.46,1.98
002314.SZ,-0.18,0.45,-0.22,1.17,0.45,1.95
002315.SZ,0.04,0.52,0.33,1.26,0.46,1.99
002317.SZ,0,0.47,0.23,1.25,0.46,1.99
002318.SZ,0.07,0.41,0.36,1.08,0.41,2
002319.SZ,-0.08,0.46,0.06,1.22,0.46,1.98
002321.SZ,-0.18,0.43,-0.24,1.1,0.43,1.92
002322.SZ,0.01,0.42,0.23,1.12,0.42,1.99
002323.SZ,-0.17,0.5,-0.13,1.35,0.49,1.98
002324.SZ,0.01,0.4,0.23,1.05,0.4,1.98
002326.SZ,-0.07,0.52,0.11,1.26,0.46,1.99
002327.SZ,0,0.33,0.15,0.77,0.33,1.88
002328.SZ,-0.03,0.44,0.15,1.18,0.44,1.98
002329.SZ,-0.17,0.5,-0.11,1.35,0.49,1.98
002330.SZ,-0.16,0.48,-0.12,1.31,0.48,1.97
002331.SZ,-0.09,0.5,0.06,1.32,0.48,1.98
002332.SZ,0.05,0.41,0.31,1.11,0.41,2.01
002333.SZ,-0.07,0.47,0.09,1.27,0.47,1.98
002334.SZ,-0.06,0.46,0.11,1.26,0.46,1.98
002335.SZ,0.03,0.53,0.32,1.22,0.45,2.01
002336.SZ,-0.17,0.53,-0.08,1.35,0.49,1.98
002337.SZ,-0.09,0.46,0.03,1.24,0.46,1.98
002338.SZ,0.02,0.52,0.29,1.22,0.45,2
002339.SZ,-0.11,0.48,0,1.3,0.48,1.98
002340.SZ,0.03,0.44,0.29,1.19,0.44,2
002342.SZ,-0.09,0.44,0,1.14,0.44,1.96
002344.SZ,-0.15,0.33,-0.34,0.65,0.33,1.68
002346.SZ,-0.07,0.53,0.12,1.27,0.47,1.99
002349.SZ,-0.04,0.47,0.14,1.28,0.47,1.98
002350.SZ,-0.06,0.49,0.11,1.32,0.48,1.98
002351.SZ,0.06,0.53,0.38,1.23,0.45,2.01
002352.SZ,0.13,0.4,0.51,1.08,0.4,2.04
002354.SZ,-0.21,0.53,-0.19,1.35,0.49,1.98
002355.SZ,-0.02,0.53,0.23,1.26,0.46,1.99
002356.SZ,-0.15,0.53,-0.04,1.35,0.49,1.98
002357.SZ,-0.09,0.44,0.02,1.16,0.44,1.96
002360.SZ,-0.1,0.43,-0.02,1.12,0.43,1.96
002361.SZ,-0.08,0.42,0.01,1.06,0.42,1.95
002362.SZ,-0.03,0.53,0.2,1.28,0.47,1.99
002363.SZ,-0.11,0.46,-0.01,1.23,0.46,1.97
002364.SZ,-0.12,0.46,-0.06,1.22,0.46,1.97
002365.SZ,-0.05,0.44,0.11,1.16,0.44,1.99
002366.SZ,-0.21,0.53,-0.19,1.35,0.49,1.98
002371.SZ,0.33,0.55,0.79,1.18,0.4,2.13
002372.SZ,0.1,0.39,0.44,1.05,0.39,2.04
002373.SZ,-0.06,0.46,0.08,1.22,0.46,1.98
002374.SZ,-0.14,0.49,-0.07,1.34,0.49,1.98
002375.SZ,-0.16,0.42,-0.21,1.04,0.42,1.92
002376.SZ,-0.06,0.39,0.03,0.98,0.39,1.94
002377.SZ,-0.15,0.49,-0.09,1.34,0.49,1.98
002378.SZ,-0.05,0.5,0.15,1.35,0.49,1.98
002379.SZ,0.01,0.41,0.22,1.06,0.41,1.98
002380.SZ,-0.03,0.48,0.17,1.27,0.47,1.99
002381.SZ,-0.05,0.38,0.06,0.95,0.38,1.94
002382.SZ,-0.08,0.43,0.02,1.14,0.43,1.97
002383.SZ,-0.07,0.48,0.09,1.32,0.48,1.98
002385.SZ,-0.07,0.43,0.05,1.12,0.43,1.96
002386.SZ,-0.02,0.44,0.18,1.18,0.44,1.99
002387.SZ,-0.07,0.46,0.07,1.23,0.46,1.98
002388.SZ,-0.11,0.55,0.06,1.32,0.48,1.98
002389.SZ,0.02,0.48,0.27,1.26,0.46,1.99
002390.SZ,-0.15,0.41,-0.17,1.02,0.41,1.91
002391.SZ,-0.07,0.33,-0.05,0.71,0.33,1.8
002392.SZ,-0.1,0.37,-0.09,0.89,0.37,1.9
002393.SZ,-0.05,0.34,0.03,0.77,0.34,1.86
002394.SZ,-0.04,0.3,0.02,0.63,0.3,1.78
002395.SZ,-0.01,0.53,0.24,1.26,0.46,1.99
002396.SZ,-0.04,0.44,0.13,1.16,0.44,1.98
002397.SZ,-0.15,0.44,-0.16,1.13,0.44,1.94
002398.SZ,-0.07,0.4,0.02,0.99,0.4,1.93
002402.SZ,0.04,0.49,0.32,1.22,0.45,2
002403.SZ,-0.07,0.43,0.04,1.11,0.43,1.96
002404.SZ,-0.03,0.39,0.13,1,0.39,1.96
002405.SZ,-0.06,0.49,0.12,1.33,0.49,1.98
002406.SZ,-0.04,0.41,0.1,1.06,0.41,1.97
002407.SZ,0.04,0.53,0.35,1.24,0.45,2
002408.SZ,0.02,0.41,0.25,1.08,0.41,1.98
002416.SZ,0.02,0.48,0.29,1.22,0.45,2
002419.SZ,-0.06,0.39,0.05,1,0.39,1.96
002420.SZ,-0.06,0.44,0.09,1.19,0.44,1.98
002421.SZ,-0.08,0.42,0.01,1.07,0.42,1.96
002422.SZ,0.08,0.36,0.38,0.91,0.36,2
002423.SZ,0.02,0.46,0.27,1.26,0.46,1.99
002424.SZ,-0.18,0.41,-0.29,0.98,0.41,1.88
002426.SZ,-0.13,0.45,-0.1,1.18,0.45,1.96
002427.SZ,-0.16,0.48,-0.13,1.3,0.48,1.98
002428.SZ,-0.02,0.51,0.22,1.23,0.45,2
002429.SZ,0.02,0.42,0.25,1.13,0.42,1.99
002430.SZ,0.1,0.47,0.44,1.18,0.43,2.02
002431.SZ,-0.17,0.44,-0.2,1.13,0.44,1.94
002432.SZ,0.09,0.54,0.43,1.21,0.44,2.02
002434.SZ,-0.01,0.41,0.17,1.07,0.41,1.97
002437.SZ,-0.16,0.42,-0.2,1.06,0.42,1.93
002439.SZ,-0.07,0.44,0.06,1.16,0.44,1.97
002440.SZ,-0.06,0.36,0,0.84,0.36,1.89
002441.SZ,-0.08,0.41,0.01,1.07,0.41,1.96
002442.SZ,-0.1,0.46,0.01,1.24,0.46,1.98
002443.SZ,-0.08,0.41,0.02,1.04,0.41,1.93
002444.SZ,0.06,0.44,0.36,1.18,0.43,2.01
002446.SZ,-0.1,0.48,0.02,1.32,0.48,1.98
002448.SZ,-0.06,0.39,0.04,0.98,0.39,1.94
002449.SZ,-0.03,0.44,0.14,1.16,0.44,1.98
002451.SZ,-0.08,0.54,0.11,1.33,0.49,1.98
002453.SZ,-0.06,0.5,0.13,1.27,0.47,1.99
002456.SZ,0.01,0.5,0.26,1.25,0.46,1.99
002457.SZ,0.03,0.47,0.29,1.26,0.46,1.99
002458.SZ,0.02,0.51,0.29,1.26,0.46,1.99
002459.SZ,0.06,0.51,0.36,1.19,0.43,2.02
002460.SZ,0.21,0.56,0.62,1.21,0.43,2.05
002461.SZ,0,0.39,0.2,0.98,0.39,1.96
002462.SZ,-0.12,0.35,-0.18,0.78,0.35,1.82
002463.SZ,0.24,0.5,0.68,1.15,0.4,2.1
002465.SZ,-0.04,0.36,0.07,0.88,0.36,1.92
002466.SZ,0.11,0.58,0.47,1.24,0.45,2.01
002467.SZ,-0.07,0.49,0.1,1.34,0.49,1.98
002468.SZ,-0.06,0.41,0.06,1.04,0.41,1.95
002469.SZ,-0.05,0.41,0.07,1.04,0.41,1.95
002470.SZ,-0.2,0.39,-0.37,0.9,0.39,1.82
002472.SZ,0.11,0.47,0.45,1.16,0.42,2.03
002475.SZ,0.25,0.44,0.72,1.12,0.4,2.1
002476.SZ,-0.12,0.47,-0.04,1.25,0.47,1.97
002478.SZ,-0.02,0.38,0.13,0.95,0.38,1.95
002479.SZ,-0.11,0.38,-0.11,0.89,0.38,1.88
002480.SZ,-0.11,0.45,-0.03,1.21,0.45,1.97
002482.SZ,-0.19,0.43,-0.29,1.05,0.42,1.91
