,returns,portfolio_value,return_0,cum_return,close,instrument,date
2016-6-14,-0.022866159,2943903.175,-0.022866159,1.943903175,2943903.175,fanyifan_strategy,2016-6-14
2016-6-15,0.014485099,2986545.905,0.014485099,1.986545905,2986545.905,fanyifan_strategy,2016-6-15
2016-6-16,0.117799388,3338359.185,0.117799388,2.338359185,3338359.185,fanyifan_strategy,2016-6-16
2016-6-17,-0.042619349,3196080.49,-0.042619349,2.19608049,3196080.49,fanyifan_strategy,2016-6-17
2016-6-20,0,3196080.49,0,2.19608049,3196080.49,fanyifan_strategy,2016-6-20
2016-6-21,-0.113523098,2833251.53,-0.113523098,1.83325153,2833251.53,fanyifan_strategy,2016-6-21
2016-6-22,-0.081086048,2603514.36,-0.081086048,1.60351436,2603514.36,fanyifan_strategy,2016-6-22
2016-6-23,0.042814903,2714983.575,0.042814903,1.714983575,2714983.575,fanyifan_strategy,2016-6-23
2016-6-24,0.046643851,2841620.865,0.046643851,1.841620865,2841620.865,fanyifan_strategy,2016-6-24
2016-6-27,-0.020071736,2784584.6,-0.020071736,1.7845846,2784584.6,fanyifan_strategy,2016-6-27
2016-6-28,0.002936057,2792760.3,0.002936057,1.7927603,2792760.3,fanyifan_strategy,2016-6-28
2016-6-29,-0.016309046,2747213.045,-0.016309046,1.747213045,2747213.045,fanyifan_strategy,2016-6-29
2016-6-30,0.052549856,2891578.695,0.052549856,1.891578695,2891578.695,fanyifan_strategy,2016-6-30
2016-7-1,0.010111738,2920817.58,0.010111738,1.92081758,2920817.58,fanyifan_strategy,2016-7-1
2016-7-4,-0.003086391,2911802.795,-0.003086391,1.911802795,2911802.795,fanyifan_strategy,2016-7-4
2016-7-5,-0.014105397,2870730.66,-0.014105397,1.87073066,2870730.66,fanyifan_strategy,2016-7-5
2016-7-6,0.014164808,2911394.01,0.014164808,1.91139401,2911394.01,fanyifan_strategy,2016-7-6
2016-7-7,-0.060508753,2735229.19,-0.060508753,1.73522919,2735229.19,fanyifan_strategy,2016-7-7
2016-7-8,0.038566437,2840717.235,0.038566437,1.840717235,2840717.235,fanyifan_strategy,2016-7-8
2016-7-11,-0.018692117,2787618.215,-0.018692117,1.787618215,2787618.215,fanyifan_strategy,2016-7-11
2016-7-12,0.04495769,2912943.09,0.04495769,1.91294309,2912943.09,fanyifan_strategy,2016-7-12
2016-7-13,-0.020599556,2852937.755,-0.020599556,1.852937755,2852937.755,fanyifan_strategy,2016-7-13
2016-7-14,-0.003431314,2843148.43,-0.003431314,1.84314843,2843148.43,fanyifan_strategy,2016-7-14
2016-7-15,0.005334957,2858316.505,0.005334957,1.858316505,2858316.505,fanyifan_strategy,2016-7-15
2016-7-18,0.017259773,2907650.4,0.017259773,1.9076504,2907650.4,fanyifan_strategy,2016-7-18
2016-7-19,0.000495763,2909091.905,0.000495763,1.909091905,2909091.905,fanyifan_strategy,2016-7-19
2016-7-20,-0.01443656,2867094.625,-0.01443656,1.867094625,2867094.625,fanyifan_strategy,2016-7-20
2016-7-21,-0.00228125,2860554.065,-0.00228125,1.860554065,2860554.065,fanyifan_strategy,2016-7-21
2016-7-22,-0.028701167,2778452.825,-0.028701167,1.778452825,2778452.825,fanyifan_strategy,2016-7-22
2016-7-25,0.013675053,2816448.315,0.013675053,1.816448315,2816448.315,fanyifan_strategy,2016-7-25
2016-7-26,0.000763905,2818599.815,0.000763905,1.818599815,2818599.815,fanyifan_strategy,2016-7-26
2016-7-27,0.001496112,2822816.755,0.001496112,1.822816755,2822816.755,fanyifan_strategy,2016-7-27
2016-7-28,0.000632611,2824602.5,0.000632611,1.8246025,2824602.5,fanyifan_strategy,2016-7-28
2016-7-29,0.003922756,2835682.725,0.003922756,1.835682725,2835682.725,fanyifan_strategy,2016-7-29
2016-8-1,-0.072974056,2628751.455,-0.072974056,1.628751455,2628751.455,fanyifan_strategy,2016-8-1
2016-8-2,0,2628751.455,0,1.628751455,2628751.455,fanyifan_strategy,2016-8-2
2016-8-3,0,2628751.455,0,1.628751455,2628751.455,fanyifan_strategy,2016-8-3
2016-8-4,0,2628751.455,0,1.628751455,2628751.455,fanyifan_strategy,2016-8-4
2016-8-5,0,2628751.455,0,1.628751455,2628751.455,fanyifan_strategy,2016-8-5
2016-8-8,-0.039342862,2525328.85,-0.039342862,1.52532885,2525328.85,fanyifan_strategy,2016-8-8
2016-8-9,-0.005818943,2510634.105,-0.005818943,1.510634105,2510634.105,fanyifan_strategy,2016-8-9
2016-8-10,0.012742918,2542626.91,0.012742918,1.54262691,2542626.91,fanyifan_strategy,2016-8-10
2016-8-11,0.001269258,2545854.16,0.001269258,1.54585416,2545854.16,fanyifan_strategy,2016-8-11
2016-8-12,-0.012093373,2515066.195,-0.012093373,1.515066195,2515066.195,fanyifan_strategy,2016-8-12
2016-8-15,-0.031925196,2434772.215,-0.031925196,1.434772215,2434772.215,fanyifan_strategy,2016-8-15
2016-8-16,0.019740865,2482836.725,0.019740865,1.482836725,2482836.725,fanyifan_strategy,2016-8-16
2016-8-17,-0.009289407,2459772.645,-0.009289407,1.459772645,2459772.645,fanyifan_strategy,2016-8-17
2016-8-18,0.001242038,2462827.775,0.001242038,1.462827775,2462827.775,fanyifan_strategy,2016-8-18
2016-8-19,0.003511829,2471476.805,0.003511829,1.471476805,2471476.805,fanyifan_strategy,2016-8-19
2016-8-22,0.024261731,2531439.11,0.024261731,1.53143911,2531439.11,fanyifan_strategy,2016-8-22
2016-8-23,-0.00751322,2512419.85,-0.00751322,1.51241985,2512419.85,fanyifan_strategy,2016-8-23
2016-8-24,-0.004427307,2501296.595,-0.004427307,1.501296595,2501296.595,fanyifan_strategy,2016-8-24
2016-8-25,-0.005952265,2486408.215,-0.005952265,1.486408215,2486408.215,fanyifan_strategy,2016-8-25
2016-8-26,0.000328816,2487225.785,0.000328816,1.487225785,2487225.785,fanyifan_strategy,2016-8-26
2016-8-29,-0.006522251,2471003.475,-0.006522251,1.471003475,2471003.475,fanyifan_strategy,2016-8-29
2016-8-30,0.008254226,2491399.695,0.008254226,1.491399695,2491399.695,fanyifan_strategy,2016-8-30
2016-8-31,-0.00627816,2475758.29,-0.00627816,1.47575829,2475758.29,fanyifan_strategy,2016-8-31
2016-9-1,-0.004458107,2464721.095,-0.004458107,1.464721095,2464721.095,fanyifan_strategy,2016-9-1
2016-9-2,0.004713758,2476339.195,0.004713758,1.476339195,2476339.195,fanyifan_strategy,2016-9-2
2016-9-5,0.067142627,2642607.115,0.067142627,1.642607115,2642607.115,fanyifan_strategy,2016-9-5
2016-9-6,-0.000374513,2641617.425,-0.000374513,1.641617425,2641617.425,fanyifan_strategy,2016-9-6
2016-9-7,0.009007962,2665413.015,0.009007962,1.665413015,2665413.015,fanyifan_strategy,2016-9-7
2016-9-8,0.017241621,2711369.055,0.017241621,1.711369055,2711369.055,fanyifan_strategy,2016-9-8
2016-9-9,-0.007300297,2691575.255,-0.007300297,1.691575255,2691575.255,fanyifan_strategy,2016-9-9
